,miejscowosc,wojewodztwo,typ,dziedzina,lng,lat
88,Szczecin,zachodniopomorskie,POZ,biologia,14.6674618,53.3773841
89,Poznań,wielkopolskie,MUZ,muzyka,16.8387079,52.4080886
90,Gronowo,kujawsko-pomorskie,POZ,informatyka,18.7808788,53.04982589999999
91,Mikołów,śląskie,MUZ,muzyka,18.9038037,50.1790184
92,Warszawa,mazowieckie,POZ,humanistyka,21.0122287,52.2296756
93,Kielce,świętokrzyskie,POZ,języki obce,20.5769729,50.8856697
94,Skoczów,śląskie,POZ,matematyka,18.8067375,49.8156816
95,Skierniewice,łódzkie,POZ,chemia,20.1583303,51.9547169
96,Wolbrom,małopolskie,POZ,informatyka,19.7426799,50.39091
97,Biłgoraj,lubelskie,POZ,biologia,22.72198,50.54099
98,Katowice,śląskie,POZ,informatyka,19.0885353,50.26430509999999
99,Jamno,zachodniopomorskie,MUZ,muzyka,16.1675,54.245
100,Sosnowiec,śląskie,POZ,humanistyka,19.1840229,50.2646942
101,Dzierżoniów,dolnośląskie,POZ,chemia,16.6773576,50.7539138
102,Kędzierzyn-Koźle,opolskie,MUZ,muzyka,18.2261844,50.3498805
103,Police,zachodniopomorskie,POZ,chemia,14.5587194,53.5099289
104,Toporzysko,małopolskie,POZ,humanistyka,19.8496202,49.6352647
105,Gdynia,pomorskie,POZ,chemia,18.4490251,54.5459594
106,Gdynia,pomorskie,MUZ,muzyka,18.4490251,54.5459594
107,Cieszyn,śląskie,POZ,chemia,18.6354709,49.7497638
108,Wrocław,dolnośląskie,MUZ,muzyka,17.0956726,51.1141338
109,Poznań,wielkopolskie,POZ,literatura,16.8387079,52.4080886
110,Warszawa,mazowieckie,MUZ,muzyka,21.0122287,52.2296756
111,Police,zachodniopomorskie,POZ,matematyka,14.5587194,53.5099289
112,Tomaszów Maz.,łódzkie,POZ,matematyka,20.0086471,51.5311945
113,Koszalin,zachodniopomorskie,POZ,historia,16.2049264,54.1949386
114,Kościan,wielkopolskie,POZ,informatyka,16.6814801,52.0951672
115,Bydgoszcz,kujawsko-pomorskie,POZ,historia sztuki,18.0280647,53.13152119999999
116,Wysoka,dolnośląskie,MUZ,muzyka,17.0083333,51.0458333
117,Gdańsk,pomorskie,MUZ,muzyka,18.5857143,54.3462257
118,Gdynia,pomorskie,MUZ,muzyka,18.4490251,54.5459594
119,Przemyśl,podkarpackie,MUZ,muzyka,22.7677908,49.7838623
120,Białystok,podlaskie,POZ,literatura,23.1572628,53.1295852
121,Gdańsk,pomorskie,MUZ,muzyka,18.5857143,54.3462257
122,Częstochowa,śląskie,POZ,biologia,19.1203094,50.8118195
123,Lubin,dolnośląskie,MUZ,muzyka,16.1938917,51.4042025
124,Aleksandrów Łódzki,łódzkie,POZ,biologia,19.2616204,51.82013689999999
125,Radom,mazowieckie,POZ,astronomia,21.1471333,51.40272359999999
126,Skomielna Czarna,małopolskie,POZ,teatr,19.8365034,49.7266083
